,Class Name,precision,recall,f1-score,support
0,F,0.6951,0.9688,0.8094,160
1,M,0.5618,0.9938,0.7178,160
2,N,0.9756,1.0000,0.9877,160
3,Q,1.0000,0.9750,0.9873,160
4,S,0.7000,0.2188,0.3333,160
5,V,0.9405,0.4938,0.6475,160
